TIME,GEO_NAME,GEO,GREEN_POL,SRC_CRF,THOUSAND_TONNES
2010,DK,Denmark,Perfluorocarbones (CO2 equivalent),Agriculture,:
2010,DK,Denmark,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:
2010,DK,Denmark,Sulphur hexafluoride (CO2 equivalent),Agriculture,:
2010,DK,Denmark,Nitrogen trifluoride (CO2 equivalent),Agriculture,:
2010,DK,Denmark,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","2,026.25"
2010,DK,Denmark,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","1,757.44"
2010,DK,Denmark,Methane,"Land use, land use change, and forestry (LULUCF)",9.13
2010,DK,Denmark,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",228.15
2010,DK,Denmark,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.14
2010,DK,Denmark,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",40.66
2010,DK,Denmark,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,DK,Denmark,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,DK,Denmark,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,DK,Denmark,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,DK,Denmark,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,EE,Estonia,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"1,255.76"
2010,EE,Estonia,Carbon dioxide,Agriculture,9.37
2010,EE,Estonia,Methane,Agriculture,24.57
2010,EE,Estonia,Methane (CO2 equivalent),Agriculture,614.14
2010,EE,Estonia,Nitrous oxide,Agriculture,2.12
2010,EE,Estonia,Nitrous oxide (CO2 equivalent),Agriculture,632.25
2010,EE,Estonia,Hydrofluorocarbones (CO2 equivalent),Agriculture,:
2010,EE,Estonia,Perfluorocarbones (CO2 equivalent),Agriculture,:
2010,EE,Estonia,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:
2010,EE,Estonia,Sulphur hexafluoride (CO2 equivalent),Agriculture,:
2010,EE,Estonia,Nitrogen trifluoride (CO2 equivalent),Agriculture,:
