TIME,GEO_NAME,GEO,GREEN_POL,SRC_CRF,THOUSAND_TONNES,AIRPOL,AIRPOL_VALUE
2010,DK,Denmark,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","2,026.25",Null,Null
2010,DK,Denmark,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","1,757.44",Null,Null
2010,DK,Denmark,Methane,"Land use, land use change, and forestry (LULUCF)",9.13,Null,Null
2010,DK,Denmark,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",228.15,Null,Null
2010,DK,Denmark,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.14,Null,Null
2010,DK,Denmark,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",40.66,Null,Null
2010,DK,Denmark,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,DK,Denmark,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,DK,Denmark,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,DK,Denmark,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,DK,Denmark,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,EE,Estonia,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"1,255.76",Null,Null
2010,EE,Estonia,Null,Null,Null,Nitrogen oxides,"42,340"
2010,EE,Estonia,Carbon dioxide,Agriculture,9.37,Null,Null
2010,EE,Estonia,Null,Null,Null,Sulphur oxides,"83,290"
2010,EE,Estonia,Methane,Agriculture,24.57,Null,Null
2010,EE,Estonia,Null,Null,Null,Ammonia,"10,090"
2010,EE,Estonia,Methane (CO2 equivalent),Agriculture,614.14,Null,Null
2010,EE,Estonia,Null,Null,Null,Particulates < 2.5µm,"13,840"
2010,EE,Estonia,Nitrous oxide,Agriculture,2.12,Null,Null
2010,EE,Estonia,Null,Null,Null,Particulates < 10µm,"23,300"
2010,EE,Estonia,Nitrous oxide (CO2 equivalent),Agriculture,632.25,Null,Null
2010,EE,Estonia,Null,Null,Null,Non-methane volatile organic compounds,"23,010"
2010,EE,Estonia,Hydrofluorocarbones (CO2 equivalent),Agriculture,:,Null,Null
2010,EE,Estonia,Perfluorocarbones (CO2 equivalent),Agriculture,:,Null,Null
2010,EE,Estonia,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,Null,Null
2010,EE,Estonia,Sulphur hexafluoride (CO2 equivalent),Agriculture,:,Null,Null
2010,EE,Estonia,Nitrogen trifluoride (CO2 equivalent),Agriculture,:,Null,Null
2010,EE,Estonia,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-4,443.10",Null,Null
2010,EE,Estonia,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-4,797.91",Null,Null
2010,EE,Estonia,Methane,"Land use, land use change, and forestry (LULUCF)",2.69,Null,Null
2010,EE,Estonia,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",67.3,Null,Null
2010,EE,Estonia,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.96,Null,Null
2010,EE,Estonia,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",287.52,Null,Null
2010,EE,Estonia,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
